"","Group.1","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"1",1,0.100225806451613,0.186967741935484,0.10941935483871,0.101096774193548,0.0862258064516129,0.138612903225806,0.134806451612903,0.136225806451613,0.132258064516129,0.0516774193548387
"2",2,0.0731071428571429,0.102714285714286,0.0832142857142857,0.0561785714285714,0.0500357142857143,0.0883214285714286,0.113107142857143,0.104785714285714,0.111,0.0547857142857143
"3",3,0.0433548387096774,0.0609032258064516,0.0470322580645161,0.0618387096774194,0.0424516129032258,0.0575161290322581,0.0547741935483871,0.0320645161290323,0.0782903225806452,0.0253225806451613
"4",4,0.0181,0.0312333333333333,0.0397666666666667,0.0528666666666667,0.0290333333333333,0.0344666666666667,0.0317666666666667,0.0213666666666667,0.0286,0.0207
"5",5,0.0183870967741935,0.0239677419354839,0.0313548387096774,0.0334838709677419,0.0166451612903226,0.0252258064516129,0.0181290322580645,0.0209677419354839,0.0229677419354839,0.0238064516129032
"6",6,0.0203333333333333,0.0163666666666667,0.0341,0.0296666666666667,0.0140666666666667,0.0243666666666667,0.0199333333333333,0.0209333333333333,0.0226333333333333,0.0180666666666667
"7",7,0.0143225806451613,0.0109677419354839,0.0190322580645161,0.0167741935483871,0.0145483870967742,0.0165483870967742,0.0145806451612903,0.00961290322580645,0.0162903225806452,0.0181612903225806
"8",8,0.0214193548387097,0.0140645161290323,0.0138387096774194,0.025258064516129,0.0190967741935484,0.0195483870967742,0.0135806451612903,0.0160322580645161,0.0208064516129032,0.0389354838709677
"9",9,0.0227666666666667,0.0191666666666667,0.0118333333333333,0.0444,0.0311,0.0262,0.0163666666666667,0.0152666666666667,0.0223,0.0439333333333333
"10",10,0.0265161290322581,0.024258064516129,0.0264516129032258,0.0419677419354839,0.0291935483870968,0.0403548387096774,0.0295161290322581,0.0222903225806452,0.0241290322580645,0.052258064516129
"11",11,0.0772333333333333,0.0607666666666667,0.0366666666666667,0.0767333333333333,0.0341333333333333,0.0928,0.0910333333333333,0.0945333333333333,0.0216666666666667,0.121833333333333
"12",12,0.137354838709677,0.124741935483871,0.0477903225806452,0.117096774193548,0.102806451612903,0.108258064516129,0.0947096774193548,0.114612903225806,0.0400645161290323,0.137612903225806
